StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q7,Q8,Q9,Q10,Q12,Q11,Q13,Q10,Q11,Q12,Q13,Q10,RandomSurveyID
2024-03-10 23:15:51,2024-03-10 23:22:55,IP Address,192.6.67.59,100,423,True,2024-03-10 23:22:55,R_2YXM2W4ht5JS9Fr,,,,,37.751,-97.822,anonymous,EN,Yes,1%,Yes,20,Monthly,"$50,000",Monthly,"Gemini,KuCoin",Yes,Yes,Monthly,Yes,SM-87277-AA,38207
2024-03-10 23:24:49,2024-03-10 23:25:43,IP Address,154.27.79.116,100,54,True,2024-03-10 23:25:43,R_5eXlOiSybVKyVWx,,,,,26.7158,-80.0491,anonymous,EN,Yes,1%,Yes,20,Quarterly,"$50,000",Quarterly,"Kraken,Robinhood",Yes,Yes,Quarterly,Yes,SM-27664-AA,47416
2024-03-10 23:25:40,2024-03-10 23:26:16,IP Address,136.248.16.152,100,35,True,2024-03-10 23:26:16,R_1JOB6Zal6TBCp2j,,,,,37.751,-97.822,anonymous,EN,Yes,2%,Yes,25,Monthly,"$50,000",Annually,"Coinbase,KuCoin",Yes,Yes,Monthly,Yes,SM-91034-AA,47572
2024-03-10 23:25:32,2024-03-10 23:27:14,IP Address,209.114.11.53,100,102,True,2024-03-10 23:27:15,R_7dLapCwKe3nMOCL,,,,,37.0142,-76.4286,anonymous,EN,Yes,1%,Yes,20,Monthly,"$50,000",Monthly,Coinbase,Yes,Yes,Quarterly,Yes,SM-86350-AA,20063
2024-03-10 23:26:59,2024-03-10 23:28:13,IP Address,209.20.221.174,100,74,True,2024-03-10 23:28:14,R_1OoUSgQHkImPLVL,,,,,40.8879,-73.0087,anonymous,EN,Yes,2%,Yes,20,Monthly,"$25,000",Quarterly,"Gemini,Kraken",No,Yes,Quarterly,No,SM-30103-AA,90457
2024-03-10 23:27:02,2024-03-10 23:28:20,IP Address,137.155.103.155,100,78,True,2024-03-10 23:28:21,R_1dFQ1TGehlb2yva,,,,,37.751,-97.822,anonymous,EN,Yes,2%,Yes,20,Annually,"$25,000",Monthly,Gemini,Yes,Yes,Quarterly,Yes,SM-18605-AA,17599
2024-03-10 23:26:39,2024-03-10 23:28:39,IP Address,136.248.36.234,100,120,True,2024-03-10 23:28:40,R_1bkqbZW5hkFfnbz,,,,,37.751,-97.822,anonymous,EN,Yes,2%,Yes,20,Monthly,"$50,000",Quarterly,Kraken,Yes,Yes,Annually,Yes,SM-33171-AA,44789
2024-03-10 23:27:24,2024-03-10 23:30:37,IP Address,137.155.24.98,100,192,True,2024-03-10 23:30:38,R_2CpuFZRRSzONXDh,,,,,37.751,-97.822,anonymous,EN,Yes,2%,Yes,20,Monthly,"$25,000",Quarterly,"KuCoin,Kraken",Yes,Yes,Bi-annually,Yes,SM-19094-AA,31815
2024-03-10 23:27:44,2024-03-10 23:33:23,IP Address,106.197.109.135,100,338,True,2024-03-10 23:33:23,R_4XuMFCHm2IN6ptT,,,,,11.0142,76.9941,anonymous,EN,Yes,1%,Yes,20,Quarterly,"$50,000",Quarterly,"Gemini,KuCoin",Yes,Yes,Monthly,Yes," SM-34021-AA  ",49998
2024-03-10 23:18:06,2024-03-10 23:36:15,IP Address,136.248.36.238,100,1089,True,2024-03-10 23:36:16,R_12kaHzrxMD5GSJz,,,,,37.751,-97.822,anonymous,EN,Yes,1%,Yes,20,Monthly,"$25,000",Monthly,Gemini,Yes,Yes,Monthly,Yes,SM-60284-AA,63909
2024-03-10 23:36:40,2024-03-10 23:39:08,IP Address,106.197.109.135,100,148,True,2024-03-10 23:39:09,R_48HB68hprfRu8MD,,,,,11.0142,76.9941,anonymous,EN,Yes,1%,Yes,20,Monthly,"$50,000",Quarterly,Kraken,Yes,Yes,Quarterly,Yes,"SM-33745-AA ",28380
2024-03-10 23:39:18,2024-03-10 23:40:05,IP Address,106.197.109.135,100,46,True,2024-03-10 23:40:06,R_4fkEh6QbOC8ClkZ,,,,,11.0142,76.9941,anonymous,EN,Yes,2%,Yes,20,Monthly,"$50,000",Monthly,"Gemini,KuCoin,Kraken",Yes,Yes,Quarterly,Yes,SM-93893-AA,35907
2024-03-10 23:40:24,2024-03-10 23:41:21,IP Address,106.197.109.135,100,57,True,2024-03-10 23:41:22,R_4aRJTWdB9nn3h6i,,,,,11.0142,76.9941,anonymous,EN,Yes,1%,Yes,25,Monthly,"$50,000",Monthly,"Gemini,Kraken",Yes,Yes,Monthly,Yes,SM-41246-AA,66722
2024-03-10 23:39:49,2024-03-10 23:42:55,IP Address,209.20.224.228,100,185,True,2024-03-10 23:42:56,R_7CWqBVir4Ou75VU,,,,,39.013,-76.6742,anonymous,EN,Yes,2%,Yes,20,Monthly,"$50,000",Monthly,Gemini,Yes,Yes,Annually,Yes,SM-32649-AA,39156
2024-03-10 23:44:46,2024-03-10 23:46:22,IP Address,104.171.169.70,100,96,True,2024-03-10 23:46:22,R_5k09Kxnvl0u3HzG,,,,,39.0469,-77.4903,anonymous,EN,Yes,1%,Yes,15,Monthly,"$10,000",Quarterly,Coinbase,Yes,Yes,Monthly,No,SM-32778-AA,98363
2024-03-10 23:45:26,2024-03-10 23:47:39,IP Address,209.114.10.227,100,132,True,2024-03-10 23:47:39,R_2bH9kae332wL93r,,,,,37.0142,-76.4286,anonymous,EN,Yes,2%,Yes,20,Annually,"$25,000",Quarterly,Coinbase,No,No,Annually,Yes,SM-65534-AA,56141
2024-03-10 23:44:52,2024-03-10 23:48:01,IP Address,205.220.211.135,100,189,True,2024-03-10 23:48:01,R_5QMzb6GX7b84hq0,,,,,32.7873,-108.2984,anonymous,EN,Yes,1%,Yes,20,Annually,"$100,000",Annually,Coinbase,Yes,Yes,Annually,Yes,,52399
2024-03-10 23:15:14,2024-03-10 23:48:42,IP Address,137.155.37.251,100,2008,True,2024-03-10 23:48:42,R_5F3xsu5PXZ9YfyF,,,,,33.8498,-118.0086,anonymous,EN,Yes,2%,Yes,20,Monthly,"$50,000",Monthly,"Coinbase,KuCoin",Yes,Yes,Monthly,Yes,SM-35626-AA,58354
2024-03-10 23:47:29,2024-03-10 23:49:03,IP Address,209.114.11.70,100,94,True,2024-03-10 23:49:04,R_10ZpVRlNzNpXyqA,,,,,37.0142,-76.4286,anonymous,EN,Yes,2%,Yes,20,Quarterly,"$50,000",Bi-annually,Kraken,Yes,Yes,Bi-annually,Yes,SM-13251-AA,53544
2024-03-10 23:49:23,2024-03-10 23:50:29,IP Address,156.96.211.233,100,65,True,2024-03-10 23:50:29,R_1hcs7MQfbpDsNpR,,,,,34.024,-84.2396,anonymous,EN,Yes,2%,Yes,15,Annually,"$100,000",Quarterly,"Kraken,Robinhood",No,Yes,Monthly,Yes,SM-37321-AA,51294
2024-03-11 00:08:34,2024-03-11 00:11:47,IP Address,69.91.165.91,100,193,True,2024-03-11 00:11:47,R_3qgjiB1KYtRlNJC,,,,,37.751,-97.822,anonymous,EN,Yes,1%,Yes,15,Monthly,"$25,000",Quarterly,Robinhood,Yes,Yes,Monthly,Yes,SM-73365-AA,31079
2024-03-11 00:20:51,2024-03-11 00:23:43,IP Address,154.27.86.101,100,171,True,2024-03-11 00:23:44,R_2BLq3OlfAsGMoFj,,,,,26.7158,-80.0491,anonymous,EN,Yes,1%,Yes,20,Monthly,"$25,000",Quarterly,Kraken,Yes,Yes,Monthly,Yes,SM-63824-AA,96492
2024-03-11 00:24:15,2024-03-11 00:25:41,IP Address,209.166.252.64,100,86,True,2024-03-11 00:25:42,R_7lRsRE4muJcdggF,,,,,39.7671,-105.0452,anonymous,EN,Yes,2%,Yes,25,Quarterly,"$50,000",Bi-annually,Kraken,Yes,Yes,Annually,Yes,SM-45910-AA,39963
